#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafePlot	1	waterStock	mm	mm	WaterStock	WaterStock
SafePlot	1	maximalWaterStock	mm	mm	MaximalWaterStock	MaximalWaterStock
SafePlot	1	waterStockAvailableForTrees	mm	mm	WaterStockAvailableForTrees	WaterStockAvailableForTrees
SafePlot	1	waterStockAvailableForMainCrop	mm	mm	WaterStockAvailableForMainCrop	WaterStockAvailableForMainCrop
SafePlot	1	waterStockAvailableForInterCrop	mm	mm	waterStockAvailableForInterCrop	waterStockAvailableForInterCrop
SafePlot	1	waterStockCommonTreeMainCrop	mm	mm	waterStockCommonTreeMainCrop	waterStockCommonTreeMainCrop
SafePlot	1	nitrogenStockAvailableForTrees	kg N ha-1	kg N ha-1	nitrogenStockAvailableForTrees	nitrogenStockAvailableForTrees
SafePlot	1	nitrogenStockAvailableForMainCrop	kg N ha-1	kg N ha-1	nitrogenStockAvailableForMainCrop	nitrogenStockAvailableForMainCrop
SafePlot	1	nitrogenStockAvailableForInterCrop	kg N ha-1	kg N ha-1	nitrogenStockAvailableForInterCrop	nitrogenStockAvailableForInterCrop
SafePlot	1	nitrogenStockCommonTreeMainCrop	kg N ha-1	kg N ha-1	nitrogenStockCommonTreeMainCrop	nitrogenStockCommonTreeMainCrop
SafePlot	1	waterStockInSaturation	mm	mm	WaterStockInSaturation	WaterStockInSaturation
SafePlot	1	waterTableDepth	m	m	WaterTableDepth	WaterTableDepth
SafePlot	1	waterUptakeByTrees	mm	mm	WaterUptakeByTrees	WaterUptakeByTrees
SafePlot	1	waterUptakeByMainCrop	mm	mm	WaterUptakeByMainCrop	WaterUptakeByMainCrop
SafePlot	1	waterUptakeByInterCrop	mm	mm	waterUptakeByInterCrop	waterUptakeByInterCrop
SafePlot	1	waterFromSaturation	mm	mm	WaterFromSaturation	WaterFromSaturation
SafePlot	1	waterToDesaturation	mm	mm	WaterToDesaturation	WaterToDesaturation
SafePlot	1	irrigationInMainCrop	mm	mm	Irrigation in maincrop	Irrigation in maincrop
